Set,Run #1,Run #1,Run #1,Run #1
angle (deg),Date and Time,Time (s),Light Intensity (% of scale max),Relative Intensity
,11/06/2018 04:03:44 pm,597.200,0.1,0.10
,11/06/2018 04:03:44 pm,597.250,0.1,0.10
,11/06/2018 04:03:44 pm,597.300,0.1,0.10
,11/06/2018 04:03:44 pm,597.350,0.1,0.10
,11/06/2018 04:03:44 pm,597.400,0.1,0.11
,11/06/2018 04:03:44 pm,597.450,0.1,0.11
,11/06/2018 04:03:44 pm,597.500,0.1,0.11
,11/06/2018 04:03:44 pm,597.550,0.1,0.11
,11/06/2018 04:03:44 pm,597.600,0.1,0.10
,11/06/2018 04:03:44 pm,597.650,0.1,0.10
,11/06/2018 04:03:44 pm,597.700,0.1,0.10
,11/06/2018 04:03:44 pm,597.750,0.1,0.10
,11/06/2018 04:03:44 pm,597.800,0.1,0.11
,11/06/2018 04:03:44 pm,597.850,0.1,0.10
,11/06/2018 04:03:44 pm,597.900,0.1,0.11
,11/06/2018 04:03:44 pm,597.950,0.1,0.11
,11/06/2018 04:03:45 pm,598.000,0.1,0.10
,11/06/2018 04:03:45 pm,598.050,0.1,0.11
,11/06/2018 04:03:45 pm,598.100,0.1,0.11
,11/06/2018 04:03:45 pm,598.150,0.1,0.10
,11/06/2018 04:03:45 pm,598.200,0.1,0.11
,11/06/2018 04:03:45 pm,598.250,0.1,0.10
,11/06/2018 04:03:45 pm,598.300,0.1,0.11
,11/06/2018 04:03:45 pm,598.350,0.1,0.11
,11/06/2018 04:03:45 pm,598.400,0.1,0.10
,11/06/2018 04:03:45 pm,598.450,0.1,0.11
